264,40902,Software Technology
265,40903,Operating, Communication and Information Systems
266,40904,Artificial Intelligence, Image and Language Processing
267,40905,Computer Architecture and Embedded Systems
268,45,Construction Engineering and Architecture
269,410,Construction Engineering and Architecture
270,41001,Architecture, Building and Construction History, Sustainable Building Technology, Building Design
271,41002,Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning
272,41003,Construction Material Sciences, Chemistry, Building Physics
273,41004,Structural Engineering, Building Informatics, Construction Operation
274,41005,Applied Mechanics, Statics and Dynamics
275,41006,Geotechnics, Hydraulic Engineering
